Gene Symbol,Gene ID,Cytoband
CDC42,0,1p36.12
CELA3A,0,1p36.12
CELA3B,0,1p36.12
WNT4,0,1p36.12
ZBTB40,0,1p36.12
EPHA8,0,1p36.12
C1QA,0,1p36.12
C1QC,0,1p36.12
C1QB,0,1p36.12
EPHB2,0,1p36.12
LACTBL1,0,1p36.12
TEX46,0,1p36.12
KDM1A,0,1p36.12
LUZP1,0,1p36.12
HTR1D,0,1p36.12
HNRNPR,0,1p36.12
ZNF436,0,1p36.12
TCEA3,0,1p36.12
ASAP3,0,1p36.12
E2F2,0,1p36.12
ID3,0,1p36.12
MDS2,0,1p36.12
RPL11,0,1p36.11
ELOA,0,1p36.11
PITHD1,0,1p36.11
LYPLA2,0,1p36.11
HMGCL,0,1p36.11
GALE,0,1p36.11
FUCA1,0,1p36.11
CNR2,0,1p36.11
PNRC2,0,1p36.11
SRSF10,0,1p36.11
MYOM3,0,1p36.11
IL22RA1,0,1p36.11
IFNLR1,0,1p36.11
GRHL3,0,1p36.11
STPG1,0,1p36.11
NIPAL3,0,1p36.11
RCAN3,0,1p36.11
NCMAP,0,1p36.11
SRRM1,0,1p36.11
CLIC4,0,1p36.11
RUNX3,0,1p36.11
SYF2,0,1p36.11
RSRP1,0,1p36.11
TMEM50A,0,1p36.11
RHD,0,1p36.11
RHCE,0,1p36.11
MACO1,0,1p36.11
LDLRAP1,0,1p36.11
MAN1C1,0,1p36.11
SELENON,0,1p36.11
AL020996.2,0,1p36.11
MTFR1L,0,1p36.11
AUNIP,0,1p36.11
PAQR7,0,1p36.11
STMN1,0,1p36.11
PAFAH2,0,1p36.11
EXTL1,0,1p36.11
SLC30A2,0,1p36.11
TRIM63,0,1p36.11
PDIK1L,0,1p36.11
FAM110D,0,1p36.11
ZNF593,0,1p36.11
CNKSR1,0,1p36.11
CATSPER4,0,1p36.11
CEP85,0,1p36.11
SH3BGRL3,0,1p36.11
UBXN11,0,1p36.11
CD52,0,1p36.11
CRYBG2,0,1p36.11
ZNF683,0,1p36.11
LIN28A,0,1p36.11
DHDDS,0,1p36.11
HMGN2,0,1p36.11
RPS6KA1,0,1p36.11
ARID1A,0,1p36.11
PIGV,0,1p36.11
ZDHHC18,0,1p36.11
SFN,0,1p36.11
GPN2,0,1p36.11
GPATCH3,0,1p36.11
NUDC,0,1p36.11
NR0B2,0,1p36.11
KDF1,0,1p36.11
TRNP1,0,1p36.11
TENT5B,0,1p36.11
,0,1p36.11
SLC9A1,0,1p36.11
WDTC1,0,1p36.11
TMEM222,0,1p36.11
SYTL1,0,1p36.11
MAP3K6,0,1p36.11
FCN3,0,1p36.11
CD164L2,0,1p36.11
GPR3,0,1p36.11
WASF2,0,1p36.11
AHDC1,0,1p36.11
FGR,0,1p35.3
IFI6,0,1p35.3
FAM76A,0,1p35.3
STX12,0,1p35.3
PPP1R8,0,1p35.3
,0,1p35.3
THEMIS2,0,1p35.3
RPA2,0,1p35.3
SMPDL3B,0,1p35.3
XKR8,0,1p35.3
EYA3,0,1p35.3
PTAFR,0,1p35.3
DNAJC8,0,1p35.3
ATP5IF1,0,1p35.3
SESN2,0,1p35.3
MED18,0,1p35.3
PHACTR4,0,1p35.3
RCC1,0,1p35.3
TRNAU1AP,0,1p35.3
TAF12,0,1p35.3
RAB42,0,1p35.3
GMEB1,0,1p35.3
YTHDF2,0,1p35.3
OPRD1,0,1p35.3
EPB41,0,1p35.3
TMEM200B,0,1p35.3
SRSF4,0,1p35.3
MECR,0,1p35.3
PTPRU,0,1p35.3
MATN1,0,1p35.2
LAPTM5,0,1p35.2
SDC3,0,1p35.2
PUM1,0,1p35.2
NKAIN1,0,1p35.2
SNRNP40,0,1p35.2
ZCCHC17,0,1p35.2
FABP3,0,1p35.2
SERINC2,0,1p35.2
,0,1p35.2
TINAGL1,0,1p35.2
HCRTR1,0,1p35.2
PEF1,0,1p35.2
COL16A1,0,1p35.2
ADGRB2,0,1p35.2
SPOCD1,0,1p35.2
PTP4A2,0,1p35.2
KHDRBS1,0,1p35.2
TMEM39B,0,1p35.2
KPNA6,0,1p35.2
TXLNA,0,1p35.2
CCDC28B,0,1p35.2
IQCC,0,1p35.2
DCDC2B,0,1p35.2
TMEM234,0,1p35.2
EIF3I,0,1p35.2
LCK,0,1p35.2
FAM167B,0,1p35.2
HDAC1,0,1p35.2
MARCKSL1,0,1p35.1
TSSK3,0,1p35.1
BSDC1,0,1p35.1
FAM229A,0,1p35.1
AL033529.1,0,1p35.1
ZBTB8B,0,1p35.1
ZBTB8A,0,1p35.1
ZBTB8OS,0,1p35.1
RBBP4,0,1p35.1
SYNC,0,1p35.1
KIAA1522,0,1p35.1
YARS1,0,1p35.1
S100PBP,0,1p35.1
FNDC5,0,1p35.1
HPCA,0,1p35.1
TMEM54,0,1p35.1
RNF19B,0,1p35.1
AL031602.1,0,1p35.1
AK2,0,1p35.1
AZIN2,0,1p35.1
TRIM62,0,1p35.1
ZNF362,0,1p35.1
A3GALT2,0,1p35.1
PHC2,0,1p35.1
ZSCAN20,0,1p35.1
CSMD2,0,1p35.1
HMGB4,0,1p35.1
C1orf94,0,1p35.1
SMIM12,0,1p34.3
GJB5,0,1p34.3
GJB4,0,1p34.3
GJB3,0,1p34.3
GJA4,0,1p34.3
DLGAP3,0,1p34.3
TMEM35B,0,1p34.3
AC114490.2,0,1p34.3
ZMYM6,0,1p34.3
ZMYM1,0,1p34.3
SFPQ,0,1p34.3
ZMYM4,0,1p34.3
KIAA0319L,0,1p34.3
NCDN,0,1p34.3
TFAP2E,0,1p34.3
PSMB2,0,1p34.3
CLSPN,0,1p34.3
C1orf216,0,1p34.3
AGO4,0,1p34.3
AGO1,0,1p34.3
AGO3,0,1p34.3
TEKT2,0,1p34.3
ADPRHL2,0,1p34.3
COL8A2,0,1p34.3
TRAPPC3,0,1p34.3
MAP7D1,0,1p34.3
THRAP3,0,1p34.3
SH3D21,0,1p34.3
EVA1B,0,1p34.3
STK40,0,1p34.3
LSM10,0,1p34.3
OSCP1,0,1p34.3
MRPS15,0,1p34.3
CSF3R,0,1p34.3
GRIK3,0,1p34.3
ZC3H12A,0,1p34.3
MEAF6,0,1p34.3
SNIP1,0,1p34.3
DNALI1,0,1p34.3
GNL2,0,1p34.3
RSPO1,0,1p34.3
C1orf109,0,1p34.3
CDCA8,0,1p34.3
EPHA10,0,1p34.3
MANEAL,0,1p34.3
YRDC,0,1p34.3
MTF1,0,1p34.3
C1orf122,0,1p34.3
INPP5B,0,1p34.3
SF3A3,0,1p34.3
FHL3,0,1p34.3
UTP11,0,1p34.3
POU3F1,0,1p34.3
RRAGC,0,1p34.3
MYCBP,0,1p34.3
AL139260.3,0,1p34.3
GJA9,0,1p34.3
RHBDL2,0,1p34.3
AKIRIN1,0,1p34.3
NDUFS5,0,1p34.3
MACF1,0,1p34.3
BMP8A,0,1p34.3
PABPC4,0,1p34.3
HEYL,0,1p34.2
PPIE,0,1p34.2
NT5C1A,0,1p34.2
HPCAL4,0,1p34.2
BMP8B,0,1p34.2
OXCT2,0,1p34.2
TRIT1,0,1p34.2
MYCL,0,1p34.2
MFSD2A,0,1p34.2
CAP1,0,1p34.2
PPT1,0,1p34.2
RLF,0,1p34.2
TMCO2,0,1p34.2
ZMPSTE24,0,1p34.2
COL9A2,0,1p34.2
SMAP2,0,1p34.2
ZFP69B,0,1p34.2
ZFP69,0,1p34.2
EXO5,0,1p34.2
ZNF684,0,1p34.2
RIMS3,0,1p34.2
NFYC,0,1p34.2
KCNQ4,0,1p34.2
CITED4,0,1p34.2
CTPS1,0,1p34.2
SLFNL1,0,1p34.2
SCMH1,0,1p34.2
FOXO6,0,1p34.2
EDN2,0,1p34.2
HIVEP3,0,1p34.2
GUCA2B,0,1p34.2
GUCA2A,0,1p34.2
FOXJ3,0,1p34.2
RIMKLA,0,1p34.2
ZMYND12,0,1p34.2
PPCS,0,1p34.2
CCDC30,0,1p34.2
PPIH,0,1p34.2
YBX1,0,1p34.2
CLDN19,0,1p34.2
P3H1,0,1p34.2
C1orf50,0,1p34.2
SVBP,0,1p34.2
ERMAP,0,1p34.2
ZNF691,0,1p34.2
SLC2A1,0,1p34.2
FAM183A,0,1p34.2
EBNA1BP2,0,1p34.2
CFAP57,0,1p34.2
TMEM125,0,1p34.2
C1orf210,0,1p34.2
TIE1,0,1p34.2
MPL,0,1p34.2
CDC20,0,1p34.2
ELOVL1,0,1p34.2
MED8,0,1p34.2
SZT2,0,1p34.2
HYI,0,1p34.2
PTPRF,0,1p34.2
KDM4A,0,1p34.2
ST3GAL3,0,1p34.1
ARTN,0,1p34.1
IPO13,0,1p34.1
DPH2,0,1p34.1
ATP6V0B,0,1p34.1
B4GALT2,0,1p34.1
CCDC24,0,1p34.1
SLC6A9,0,1p34.1
KLF17,0,1p34.1
DMAP1,0,1p34.1
ERI3,0,1p34.1
RNF220,0,1p34.1
TMEM53,0,1p34.1
ARMH1,0,1p34.1
KIF2C,0,1p34.1
RPS8,0,1p34.1
BEST4,0,1p34.1
PLK3,0,1p34.1
TCTEX1D4,0,1p34.1
BTBD19,0,1p34.1
PTCH2,0,1p34.1
EIF2B3,0,1p34.1
HECTD3,0,1p34.1
UROD,0,1p34.1
ZSWIM5,0,1p34.1
MUTYH,0,1p34.1
HPDL,0,1p34.1
TESK2,0,1p34.1
TOE1,0,1p34.1
CCDC163,0,1p34.1
MMACHC,0,1p34.1
PRDX1,0,1p34.1
AKR1A1,0,1p34.1
NASP,0,1p34.1
CCDC17,0,1p34.1
GPBP1L1,0,1p34.1
TMEM69,0,1p34.1
IPP,0,1p34.1
MAST2,0,1p34.1
PIK3R3,0,1p34.1
LOC110117498-PIK3R3,0,1p34.1
TSPAN1,0,1p34.1
P3R3URF,0,1p34.1
POMGNT1,0,1p34.1
LURAP1,0,1p34.1
RAD54L,0,1p34.1
LRRC41,0,1p34.1
UQCRH,0,1p33
NSUN4,0,1p33
FAAH,0,1p33
DMBX1,0,1p33
KNCN,0,1p33
MKNK1,0,1p33
MOB3C,0,1p33
ATPAF1,0,1p33
TEX38,0,1p33
EFCAB14,0,1p33
CYP4B1,0,1p33
CYP4A11,0,1p33
CYP4X1,0,1p33
CYP4Z1,0,1p33
CYP4A22,0,1p33
PDZK1IP1,0,1p33
TAL1,0,1p33
STIL,0,1p33
CMPK1,0,1p33
FOXE3,0,1p33
FOXD2,0,1p33
TRABD2B,0,1p33
AL356289.3,0,1p33
SLC5A9,0,1p33
AL109659.3,0,1p33
SPATA6,0,1p33
AGBL4,0,1p33
BEND5,0,1p33
ELAVL4,0,1p33
DMRTA2,0,1p32.3
FAF1,0,1p32.3
CDKN2C,0,1p32.3
C1orf185,0,1p32.3
RNF11,0,1p32.3
TTC39A,0,1p32.3
EPS15,0,1p32.3
OSBPL9,0,1p32.3
NRDC,0,1p32.3
RAB3B,0,1p32.3
TXNDC12,0,1p32.3
KTI12,0,1p32.3
BTF3L4,0,1p32.3
ZFYVE9,0,1p32.3
CC2D1B,0,1p32.3
ORC1,0,1p32.3
PRPF38A,0,1p32.3
TUT4,0,1p32.3
GPX7,0,1p32.3
SHISAL2A,0,1p32.3
COA7,0,1p32.3
ZYG11B,0,1p32.3
ZYG11A,0,1p32.3
ECHDC2,0,1p32.3
SCP2,0,1p32.3
,0,1p32.3
PODN,0,1p32.3
SLC1A7,0,1p32.3
CPT2,0,1p32.3
CZIB,0,1p32.3
MAGOH,0,1p32.3
LRP8,0,1p32.3
DMRTB1,0,1p32.3
GLIS1,0,1p32.3
NDC1,0,1p32.3
YIPF1,0,1p32.3
DIO1,0,1p32.3
HSPB11,0,1p32.3
LRRC42,0,1p32.3
LDLRAD1,0,1p32.3
TMEM59,0,1p32.3
TCEANC2,0,1p32.3
CDCP2,0,1p32.3
AL357673.1,0,1p32.3
CYB5RL,0,1p32.3
MRPL37,0,1p32.3
SSBP3,0,1p32.3
ACOT11,0,1p32.3
FAM151A,0,1p32.3
MROH7,0,1p32.3
MROH7-TTC4,0,1p32.3
TTC4,0,1p32.3
TTC22,0,1p32.3
PARS2,0,1p32.3
LEXM,0,1p32.3
DHCR24,0,1p32.3
TMEM61,0,1p32.3
BSND,0,1p32.3
PCSK9,0,1p32.3
USP24,0,1p32.3
PLPP3,0,1p32.2
PRKAA2,0,1p32.2
FYB2,0,1p32.2
C8A,0,1p32.2
C8B,0,1p32.2
DAB1,0,1p32.2
OMA1,0,1p32.2
TACSTD2,0,1p32.1
MYSM1,0,1p32.1
JUN,0,1p32.1
FGGY,0,1p32.1
HOOK1,0,1p32.1
CYP2J2,0,1p32.1
C1orf87,0,1p32.1
NFIA,0,1p31.3
TM2D1,0,1p31.3
PATJ,0,1p31.3
L1TD1,0,1p31.3
KANK4,0,1p31.3
USP1,0,1p31.3
DOCK7,0,1p31.3
ANGPTL3,0,1p31.3
ATG4C,0,1p31.3
FOXD3,0,1p31.3
ALG6,0,1p31.3
ITGB3BP,0,1p31.3
EFCAB7,0,1p31.3
PGM1,0,1p31.3
ROR1,0,1p31.3
UBE2U,0,1p31.3
CACHD1,0,1p31.3
RAVER2,0,1p31.3
JAK1,0,1p31.3
AK4,0,1p31.3
DNAJC6,0,1p31.3
LEPR,0,1p31.3
LEPROT,0,1p31.3
PDE4B,0,1p31.3
SGIP1,0,1p31.3
TCTEX1D1,0,1p31.3
INSL5,0,1p31.3
WDR78,0,1p31.3
MIER1,0,1p31.3
SLC35D1,0,1p31.3
C1orf141,0,1p31.3
IL23R,0,1p31.3
IL12RB2,0,1p31.3
,0,1p31.3
SERBP1,0,1p31.3
GADD45A,0,1p31.3
GNG12,0,1p31.3
DIRAS3,0,1p31.3
WLS,0,1p31.3
RPE65,0,1p31.3
DEPDC1,0,1p31.3
LRRC7,0,1p31.1
LRRC40,0,1p31.1
SRSF11,0,1p31.1
ANKRD13C,0,1p31.1
HHLA3,0,1p31.1
,0,1p31.1
CTH,0,1p31.1
PTGER3,0,1p31.1
ZRANB2,0,1p31.1
NEGR1,0,1p31.1
LRRIQ3,0,1p31.1
FPGT,0,1p31.1
FPGT-TNNI3K,0,1p31.1
TNNI3K,0,1p31.1
LRRC53,0,1p31.1
ERICH3,0,1p31.1
CRYZ,0,1p31.1
TYW3,0,1p31.1
LHX8,0,1p31.1
SLC44A5,0,1p31.1
ACADM,0,1p31.1
RABGGTB,0,1p31.1
MSH4,0,1p31.1
ASB17,0,1p31.1
ST6GALNAC3,0,1p31.1
ST6GALNAC5,0,1p31.1
PIGK,0,1p31.1
AK5,0,1p31.1
ZZZ3,0,1p31.1
USP33,0,1p31.1
MIGA1,0,1p31.1
NEXN,0,1p31.1
FUBP1,0,1p31.1
GIPC2,0,1p31.1
DNAJB4,0,1p31.1
PTGFR,0,1p31.1
IFI44L,0,1p31.1
IFI44,0,1p31.1
ADGRL4,0,1p31.1
ADGRL2,0,1p31.1
TTLL7,0,1p31.1
PRKACB,0,1p31.1
SAMD13,0,1p31.1
DNASE2B,0,1p31.1
RPF1,0,1p22.3
GNG5,0,1p22.3
CTBS,0,1p22.3
SSX2IP,0,1p22.3
LPAR3,0,1p22.3
MCOLN2,0,1p22.3
WDR63,0,1p22.3
MCOLN3,0,1p22.3
SYDE2,0,1p22.3
C1orf52,0,1p22.3
BCL10,0,1p22.3
DDAH1,0,1p22.3
CCN1,0,1p22.3
ZNHIT6,0,1p22.3
COL24A1,0,1p22.3
ODF2L,0,1p22.3
CLCA2,0,1p22.3
CLCA1,0,1p22.3
CLCA4,0,1p22.3
SH3GLB1,0,1p22.3
SELENOF,0,1p22.3
HS2ST1,0,1p22.3
AC093155.3,0,1p22.3
LMO4,0,1p22.3
PKN2,0,1p22.2
GTF2B,0,1p22.2
KYAT3,0,1p22.2
RBMXL1,0,1p22.2
GBP3,0,1p22.2
GBP1,0,1p22.2
GBP2,0,1p22.2
GBP7,0,1p22.2
GBP4,0,1p22.2
GBP5,0,1p22.2
GBP6,0,1p22.2
LRRC8B,0,1p22.2
LRRC8C,0,1p22.2
AC093423.3,0,1p22.2
LRRC8D,0,1p22.2
ZNF326,0,1p22.2
BARHL2,0,1p22.2
ZNF644,0,1p22.2
HFM1,0,1p22.2
CDC7,0,1p22.1
TGFBR3,0,1p22.1
BRDT,0,1p22.1
EPHX4,0,1p22.1
SETSIP,0,1p22.1
BTBD8,0,1p22.1
,0,1p22.1
C1orf146,0,1p22.1
GLMN,0,1p22.1
RPAP2,0,1p22.1
GFI1,0,1p22.1
EVI5,0,1p22.1
RPL5,0,1p22.1
DIPK1A,0,1p22.1
MTF2,0,1p22.1
TMED5,0,1p22.1
CCDC18,0,1p22.1
DR1,0,1p22.1
FNBP1L,0,1p22.1
BCAR3,0,1p22.1
DNTTIP2,0,1p22.1
GCLM,0,1p22.1
ABCA4,0,1p22.1
ARHGAP29,0,1p22.1
ABCD3,0,1p21.3
F3,0,1p21.3
SLC44A3,0,1p21.3
CNN3,0,1p21.3
ALG14,0,1p21.3
TLCD4,0,1p21.3
TLCD4-RWDD3,0,1p21.3
RWDD3,0,1p21.3
PTBP2,0,1p21.3
DPYD,0,1p21.3
SNX7,0,1p21.3
PLPPR5,0,1p21.3
PLPPR4,0,1p21.3
PALMD,0,1p21.2
FRRS1,0,1p21.2
AGL,0,1p21.2
SLC35A3,0,1p21.2
MFSD14A,0,1p21.2
SASS6,0,1p21.2
TRMT13,0,1p21.2
LRRC39,0,1p21.2
DBT,0,1p21.2
RTCA,0,1p21.2
CDC14A,0,1p21.2
GPR88,0,1p21.2
VCAM1,0,1p21.2
EXTL2,0,1p21.2
SLC30A7,0,1p21.2
DPH5,0,1p21.2
S1PR1,0,1p21.2
OLFM3,0,1p21.1
COL11A1,0,1p21.1
AMY1B,0,1p21.1
RNPC3,0,1p21.1
AMY1C,0,1p21.1
AMY1A,0,1p21.1
AMY2B,0,1p21.1
AMY2A,0,1p21.1
PRMT6,0,1p13.3
NTNG1,0,1p13.3
VAV3,0,1p13.3
SLC25A24,0,1p13.3
NBPF4,0,1p13.3
NBPF6,0,1p13.3
FAM102B,0,1p13.3
HENMT1,0,1p13.3
PRPF38B,0,1p13.3
FNDC7,0,1p13.3
STXBP3,0,1p13.3
AKNAD1,0,1p13.3
AL449266.1,0,1p13.3
GPSM2,0,1p13.3
CLCC1,0,1p13.3
WDR47,0,1p13.3
TAF13,0,1p13.3
KIAA1324,0,1p13.3
C1orf194,0,1p13.3
TMEM167B,0,1p13.3
SARS1,0,1p13.3
CELSR2,0,1p13.3
PSRC1,0,1p13.3
MYBPHL,0,1p13.3
SORT1,0,1p13.3
PSMA5,0,1p13.3
SYPL2,0,1p13.3
ATXN7L2,0,1p13.3
CYB561D1,0,1p13.3
AMIGO1,0,1p13.3
GPR61,0,1p13.3
GNAI3,0,1p13.3
GNAT2,0,1p13.3
AMPD2,0,1p13.3
GSTM1,0,1p13.3
GSTM5,0,1p13.3
GSTM4,0,1p13.3
GSTM2,0,1p13.3
GSTM3,0,1p13.3
EPS8L3,0,1p13.3
CSF1,0,1p13.3
AHCYL1,0,1p13.3
STRIP1,0,1p13.3
ALX3,0,1p13.3
UBL4B,0,1p13.3
SLC6A17,0,1p13.3
KCNC4,0,1p13.3
RBM15,0,1p13.3
SLC16A4,0,1p13.3
LAMTOR5,0,1p13.3
PROK1,0,1p13.3
KCNA10,0,1p13.3
KCNA2,0,1p13.3
KCNA3,0,1p13.3
CD53,0,1p13.3
LRIF1,0,1p13.3
DRAM2,0,1p13.3
CEPT1,0,1p13.3
DENND2D,0,1p13.3
CHI3L2,0,1p13.2
CHIA,0,1p13.2
PIFO,0,1p13.2
